341.3410200342	205.0366432456	851.8919190424	466.2804600767	0.2682843088	-81.7196532376	0.6425000000	195.3561459689 -3.5448452755 20.2783032431 396.3041633032 0.5750000000 1.2175000000 396.3041633032 133.6949363639 333.9648636101 79.0372530211 63.8206457581 564.4724849243 -3.1746718750
342.7492176922	207.9954523189	853.9246994096	467.5100488801	0.1455053657	-81.0508646371	0.7700000000	198.1752592476 -4.3776575104 19.9482611950 397.0272446738 0.4683333333 1.2383333333 397.0272446738 133.7042186914 334.9324272675 80.5283458634 64.2779189029 566.1775825506 -3.4417031250
343.6535738494	208.6338474425	853.3747370021	467.0034776777	0.3715318334	-80.8355020569	0.8950000000	198.7835133869 -5.4061274298 19.6235907873 397.6452648776 0.3841666667 1.2791666667 397.6452648776 133.2839999907 335.5523973582 81.1235359776 65.5880114288 567.8493201979 -3.3457656250
343.5975987570	206.9369340138	853.4500402499	466.5267333110	0.3932459382	-80.2710598161	0.9975000000	197.1667175846 -6.1612495268 19.5692525105 397.3189720185 0.3208333333 1.3183333333 397.3189720185 132.3137854602 335.1904197296 81.0810414782 67.9189489905 569.3719400745 -2.8868593750
343.5966626978	209.2699541655	854.9740673857	466.0656235541	0.4089514094	-78.5518646461	0.9825000000	199.3895875506 -6.0564907010 19.8693466047 396.8203310522 0.3450000000 1.3275000000 396.8203310522 131.2256296308 334.6281392380 77.4766889191 75.2535845908 570.1162128010 -0.5018593750
344.8299494210	207.0653968345	854.3123547734	467.1293495101	0.2640644474	-78.1749415409	0.9250000000	197.2891153970 -5.8444758071 19.7876945896 396.5296820661 0.3866666667 1.3116666667 396.5296820661 130.7124749021 334.8828422836 77.3281002942 77.5797076146 570.7033884349 0.0577343750
344.1332364934	204.1955634366	854.2419925266	466.8547018662	0.3605257274	-77.9359151352	0.7350000000	194.5547762974 -5.0043705092 20.0032337593 396.7532347811 0.5408333333 1.2758333333 396.7532347811 130.5729952063 335.9699249131 77.4126223522 78.9383787403 571.2184946017 0.3550468750
344.0498311115	203.1970533112	852.6729412735	465.8084007086	0.3079908897	-77.8089876630	0.5750000000	193.6034094468 -4.8038400130 20.1926886117 395.5917886115 0.6991666667 1.2741666667 395.5917886115 130.5682641041 336.7577486616 77.8763555558 79.5328497642 571.7347602142 0.3900781250
343.6268234642	201.5717220656	852.9862936068	465.0890106235	0.2161671016	-77.1486600477	0.5000000000	192.0548160079 -4.5697459260 20.2858317161 395.5474048983 0.7658333333 1.2658333333 395.5474048983 130.3898191208 337.8885551155 79.0737673893 77.0078950134 572.5373525236 -0.4860781250
344.5295003121	202.7094312852	854.5055908563	464.5259865347	0.2440479091	-76.0012537968	0.4325000000	193.1388097869 -4.1590275375 20.5084820289 396.1234917084 0.8216666667 1.2541666667 396.1234917084 129.9507559164 339.1494351884 80.1818769490 77.1751058759 573.4058443533 -0.7160468750
